ID,Fecha,Provincia,Cantón,Cobertura,Tipo de Protesta,Sub Tipo de Protesta,Actor,Tipo de Actor,Sub Tipo de Actor,Demanda,Tipo de Demanda,Sub Tipo de Demanda,Entidad,Tipo de Entidad,Resolución,Alianza,Clase,Represión,Resumen,Noticias
1,2014-12-18,San José,San José,No registrada,Denuncia ante entidades nacionales y/o entidades internacionales,NA,SINTRAJAP,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector público,Entregar información sobre la TCM.,Fiscalización de la función pública y rendición de cuentas,Solicitud de información,SETENA,Entidades de regulación,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"El SINTRAJAP informa que ha presentado un recurso de amparo en contra de la SETENA debido a la negativa de esta de entregar información relacionada con la TCM. En un comunicado de prensa publicado por el sindicato, se critica la decisión de la SETENA, tomada el día anterior, de permitir el inicio de las obras de la nueva terminal por la transnacional holandesa APM Terminals. Asimismo, se agrega que la entidad no respetó el criterio de expertos en materia ambiental sobre el impacto ambiental de este nuevo puerto sobre la provincia de Limón.","La Nación: SINTRAJAP PRESENTÓ RECURSO DE AMPARO CONTRA SETENA POR NO PRESENTARLE INFORMACIÓN DEL MEGAPUERTO (2014-12-18), La Extra: INTERPONEN AMPARO CONTRA SETENA (2014-12-19)"
2,2014-12-18,San José,San José,No registrada,Denuncia ante entidades nacionales y/o entidades internacionales,NA,SINTRAJAP,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector público,Entregar información sobre la TCM.,Fiscalización de la función pública y rendición de cuentas,Solicitud de información,SETENA,Entidades de regulación,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"El SINTRAJAP informa que ha presentado un recurso de amparo en contra de la SETENA debido a la negativa de esta de entregar información relacionada con la TCM. En un comunicado de prensa publicado por el sindicato, se critica la decisión de la SETENA, tomada el día anterior, de permitir el inicio de las obras de la nueva terminal por la transnacional holandesa APM Terminals. Asimismo, se agrega que la entidad no respetó el criterio de expertos en materia ambiental sobre el impacto ambiental de este nuevo puerto sobre la provincia de Limón.","La Nación: INTRAJAP PRESENTÓ RECURSO DE AMPARO CONTRA SETENA POR NO PRESENTARLE INFORMACIÓN DEL MEGAPUERTO (2014-12-18), La Extra: NTERPONEN AMPARO CONTRA SETENA (2014-12-19)"
4,2014-12-20,San José,San José,Regional,Paro,NA,Trabajadoras y Trabajadores de la MSJ,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector público,Aumentar el porcentaje de ajuste salarial para el 2015.,Defensa del trabajo y las condiciones laborales,Aumento salarial,MSJ,Municipalidad en general,Acuerdo tras negociación,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Un grupo de trabajadores y trabajadoras de la MSJ se declara en paro de labores luego de conocer el porcentaje de aumento de 5% propuesto por las autoridades de la municipalidad para el 2015. Dicho porcentaje se dividiría en un 2,5% para el primer semestre y un 2,5% para el segundo semestre. Ante la protesta, apoyada por la ANEP, una representación de las y los trabajadores sostiene una negociación con autoridades de la municipalidad y acuerdan fijar un 6% de aumento para el sector administrativo, distribuido en un 3% para cada semestre, y un 7% para el sector operario, un 3% en el primer semestre y un 4% en el segundo semestre.",La Extra: RECLAMAN MAYOR AUMENTO SALARIAL EN 2015 (2014-12-20)
5,2014-12-22,San José,San José,No registrada,Declaración pública,NA,SINTRAJAP,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector público,Respetar las condiciones laborales estipuladas en la convención colectiva vigente,Defensa del trabajo y las condiciones laborales,Defensa de las convenciones colectivas,Administración Solís Rivera,Gobierno en general,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Ronaldo Blear, secretario general del SINTRAJAP, declara, durante una entrevista con Diario Extra, que la organización sindical defenderá las condiciones laborales de las y los trabajadores portuarios estipuladas en la convención colectiva vigente. El SINTRAJAP iniciará en enero próximo, la negociación de una nueva convención luego de que la JAPDEVA denunciara la actual. De acuerdo con Blear, tienen conocimiento de las sugerencias hechas por la Comisión de Convenciones Colectivas del gobierno, entre las cuales figuran la reducción en un 50% del subsidio de alimentación que reciben las y los trabajadores de los muelles, la reducción de 20 a 10 años de la cesantía y la eliminación de la comisión bipartita. El secretario general del SINTRAJAP manifiesta que no aceptarán ninguna propuesta que desmejore las condiciones laborales actuales, aunque sí están dispuestos a darle “nueva forma” a ciertos artículos que en su redacción actual generan confusión.",La Extra: SINTRAJAP NO ACEPTA CAMBIOS A SU CONVENCIÓN COLECTIVA (2014-12-22)
6,2014-12-20,San José,San José,Regional,Reunión con autoridades,NA,Trabajadoras y Trabajadores y autoridades de la MSJ,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector público,Aumentar el porcentaje de ajuste salarial para el 2015.,Defensa del trabajo y las condiciones laborales,Aumento salarial,MSJ,Municipalidad en general,Acuerdo tras negociación,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Un grupo de trabajadores y trabajadoras de la MSJ se declara en paro de labores luego de conocer el porcentaje de aumento de 5% propuesto por las autoridades de la municipalidad para el 2015. Dicho porcentaje se dividiría en un 2,5% para el primer semestre y un 2,5% para el segundo semestre. Ante la protesta, apoyada por la ANEP, una representación de las y los trabajadores sostiene una negociación con autoridades de la municipalidad y acuerdan fijar un 6% de aumento para el sector administrativo, distribuido en un 3% para cada semestre, y un 7% para el sector operario, un 3% en el primer semestre y un 4% en el segundo semestre.",La Extra: RECLAMAN MAYOR AUMENTO SALARIAL EN 2015 (2014-12-20)
7,2014-12-23,Alajuela,Alajuela,Regional,Declaración pública,Denuncia,Vecinas y Vecinos de Alajuela,Grupos de vecinos y vecinas,NA,Solucionar el problema con los semáforos,"Mejora y/o defensa en el acceso, calidad y costo de la infraestructura pública",NA,MOPT,Ministerios,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Un grupo de vecinas y vecinos de Alajuela manifiestan molestias debido a problemas con los semáforos ubicados en la entrada a la provincia de Alajuela, en las cercanías del colegio Marista. De acuerdo con las y los vecinos, los semáforos no funcionan correctamente, ocasionando congestionamiento vial y accidentes de tránsito. Uno de los afectados indica que han presentado la denuncia ante el MOPT, sin embargo, este no ha solucionado la situación.",La Extra: VECINOS HARTOS POR SEMÁFOROS TONTOS (2014-12-23)
8,2014-12-29,San José,San José,Nacional,Declaración pública,NA,Coalición Patria Justa,Grupos y/u organizaciones de trabajadores y trabajadoras,NA,Contra el decreto ejecutivo para regular las huelgas en servicios públicos esenciales,"En favor o en contra de leyes, reglamentos, planes y/o decretos","En contra de leyes, reglamentos, planes y/o decretos",Administración Solís Rivera,Gobierno en general,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Albino Vargas, secretario general de la ANEP, en nombre de la coalición Patria Justa, manifiesta un total rechazo a la decisión del gobierno de emitir un decreto ejecutivo con el que pretende regular las huelgas en servicios públicos esenciales. La decisión del poder ejecutivo surge luego de la decisión del presidente Solís de retirar el veto impuesto por la ex presidenta Laura Chinchilla a la Reforma Procesal Laboral. La medida despertó el malestar entre distintos sectores sociales, incluidos el gobierno y las cámaras empresariales. Ahora con el decreto ejecutivo no. 38767-MP-MTSS-MJP, el ejecutivo busca la regulación de las huelgas en servicios públicos considerados esenciales, con lo cual, según Vargas, se está dando una “extralimitación jurídica”. Ante esto, Patria Justa anuncia acciones tanto por la vía legal como posibles protestas callejeras.",La Extra: PATRIA JUSTA OPUESTA A REGULAR HUELGAS MEDIANTE DECRETO (2014-12-29)
9,2014-12-29,San José,San José,Nacional,Declaración pública,NA,CADEXCO,Grupos y/u organizaciones empresariales,NA,Establecer una oficina de administración de tratados comerciales,Intervención del gobierno,Cumplimiento de acuerdos,Administración Solís Rivera,Gobierno en general,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Laura Bonilla, presidenta de la CADEXCO, externa la solicitud hecha por su organización para que el COMEX establezca una oficina de administración de tratados comerciales. De acuerdo con Bonilla, dicha oficina es un compromiso no cumplido por gobiernos anteriores y que espera se cumpla durante la administración actual. La gestión de los tratados es un problema que debe atenderse, según la CADEXCO, pues el país se ha dedicado a “firmar y firmar” tratados comerciales, en lugar de administrar los existentes.",La Extra: PIDEN OFICINA PARA ADMINISTRAR TRATADOS (2014-12-29)
10,2014-12-30,San José,San José,Nacional,Declaración pública,NA,Asociación de Cámaras de Porteadores,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector privado,Otorgar una prórroga para la renovación de la unidades,Fiscalización de la función pública y rendición de cuentas,Solicitud de respuesta,MOPT,Ministerios,No registrado,NA,Particular,No registrado o no existencia,"Miembros de la Asociación de Cámaras de Porteadores confirman el envío de una carta solicitando el otorgamiento de una prórroga para la renovación de las unidades del SEET. El MOPT, de acuerdo con uno de los dirigentes de la asociación, habría recibido la carta hace un mes, sin embargo, la misma no ha sido analizada por las autoridades. Este grupo conocido popularmente como “porteadores” pide que se establezca un plazo hasta julio de 2015 para sustituir las unidades con una antigüedad mayor a los 15 años, tal como lo define la legislación. Sostienen que muchos de ellos no son “sujetos de crédito” lo cual dificulta el cambio de los automóviles.",La Extra: PORTEADORES PIDEN PRÓRROGA PARA CAMBIAR CARROS (2014-12-30)
11,2014-12-18,Alajuela,Alajuela,Regional,Huelga,NA,Trabajadores del centro comercial City Mall,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector privado,Cancelar dineros adeudados,Defensa del trabajo y las condiciones laborales,Pago de salarios,Empresas constructoras del centro comercial City Mall,Empresas privadas,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Un grupo de trabajadores de la construcción que laboran en la edificación del centro comercial City Mall en Alajuela, se declara nuevamente en huelga como medida de protesta por la cancelación de dineros adeudados. La semana anterior, este grupo habría alcanzado un acuerdo con las empresas para las que trabajan y el MTSS, no obstante esto deciden retomar el movimiento debido a que, según ellos, no existen garantías de que se les cancele lo adeudado antes del cierre de fin año.",CR Hoy: TRABAJADORES DE CITY MALL VOLVERÁN A HUELGA (2014-12-18)
