ID,Fecha,Provincia,Cantón,Cobertura,Tipo de Protesta,Sub Tipo de Protesta,Actor,Tipo de Actor,Sub Tipo de Actor,Demanda,Tipo de Demanda,Sub Tipo de Demanda,Entidad,Tipo de Entidad,Resolución,Alianza,Clase,Represión,Resumen,Noticias
2844,2016-01-06,Región del Pacífico,Departamento de Managua,Local,Mitin o concentración,NA,Coalición Nacional por la Democracia,Grupos y/u organizaciones de ciudadanos y ciudadanas,NA,Asegurar transparencia electoral,Fiscalización de la función pública y rendición de cuentas,Lucha por procesos electorales,Consejo Supremo Electoral (CSE),Poder Electoral,No registrado,Participación conjunta,General,Declaratoria de ilegalidad,"La Coalición Nacional por la Democracia realizó la protesta número treinta y seis afuera de las instalaciones del Consejo Supremo Electoral (CSE) con el objetivo de presionar para que se respete la Ley electoral, se permitan observadores nacionales e internacionales en la próximas elecciones generales, se cambie a los magistrados del CSE por su falta de legitimidad y se entregue, sin distinción alguna, cedulas de identidad a los/as ciudadanos/as para su ejercicio del voto.",La Prensa: http://www.laprensa.com.ni/2016/01/06/politica/1964374-hoy-protesta-37-cse (2016-01-06)
2845,2016-01-07,Región del Pacífico,Departamento de Managua,Nacional,Reunión con autoridades,NA,Central Sandinista de Trabajadores,Grupos y/u organizaciones de trabajadores y trabajadoras,Del sector privado,Aumentar Salario Mínimo,Defensa del trabajo y las condiciones laborales,Aumento salarial,Ministerio del Trabajo (MITRAB),Ministerios,Acuerdo tras negociación,Apoyo solidario,General,No registrado o no existencia,"Diversos sectores sindicales negociaron con el Ministerio del Trabajo y representantes de la Empresa privada para discutir un aumento del salario mínimo.  Los sindicatos demandaron un aumento del 9.8% de los salarios mínimos, poniendo como prioridad a los sectores productivos del país. Miembros del COSEP y el MITRAB se mostraron dispuestos a continuar la negociación en los próximos días.",El 19: https://www.el19digital.com/articulos/ver/titulo:37502-instalan-mesa-tripartita-para-la-discusion-del-salario-minimo (2016-01-07)
2846,2016-01-10,Región Atlántica,Región Autónoma Atlántico Sur,Local,Marcha,NA,"Consejo Nacional para la Defensa de la tierra, lago y soberania",Grupos y/u organizaciones de campesinos y campesinas e indígenas,Campesinos y campesinas,Derogar Ley 840,"En favor o en contra de leyes, reglamentos, planes y/o decretos","En contra de leyes, reglamentos, planes y/o decretos",Asamblea Nacional (AN),Asamblea Legislativa,No registrado,Apoyo solidario,Particular,No registrado o no existencia,"El Consejo Nacional para la Defensa de la Tierra, Lago y Soberanía lideró una marcha de campesinos de La Fonseca, Nueva Guinea, con el objetivo de iniciar un proceso de recolección de cinco mil firmas, necesarias para introducir una iniciativa de ley en la Asamblea Nacional, la cual contempla la derogación de la ley 840: Ley del Gran Canal.",La Prensa: http://www.laprensa.com.ni/2016/01/10/nacionales/1966690-recogen-firmas-para-derogar-ley-del-gran-canal-de-nicaragua (2016-01-10)
2847,2016-01-11,Región Norte Central,Departamento de Nueva Segovia,Local,Declaración pública,Pronunciamiento,"Comunitarios de Buenos aires, Suyatal, Brujil y Mata de plátano",Grupos y/u organizaciones de vecinos y vecinas,NA,Acceder a la principal vía de acceso de la comunidad,"Mejora y/o defensa en el acceso, calidad y costo de la infraestructura pública",NA,Gobierno central,Gobierno en general,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Las comunidades Buenos Aires, Suyatal, Brujil y Mata de Plátano, elaboraron una carta firmada por doscientos setenta afectados solicitando una carretera alternativa, dada la restricción del acceso a la carretera panamericana, principal vía de acceso para el traslado de la producción cafetalera, tras la construcción de las nuevas instalaciones del puesto fronterizo de Las Manos.",La Prensa: http://www.laprensa.com.ni/2016/01/11/departamentales/1967269-obras-en-las-manos-afectan-a-cuatro-comunidades (2016-01-11)
2848,2016-01-14,Región del Pacífico,Departamento de Managua,Local,Mitin o concentración,NA,Coalición Nacional por la Democracia,Grupos y/u organizaciones de ciudadanos y ciudadanas,NA,Asegurar transparencia electoral,Fiscalización de la función pública y rendición de cuentas,Lucha por procesos electorales,Consejo Supremo Electoral (CSE),Poder Electoral,No registrado,Participación conjunta,General,Declaratoria de ilegalidad,"La Coalición Nacional por la Democracia realizó la protesta numero treinta y siete afuera de las instalaciones del Consejo Supremo Electoral (CSE) con el objetivo de presionar para que se respete la Ley electoral, se permitan observadores nacionales e internacionales en la próximas elecciones generales, se cambie a los magistrados del CSE por su falta de legitimidad y se entregue cedulas de identidad a los/as ciudadanos/as para su ejercicio del voto. La concentración fue reprimida por supuestas fuerzas no policiales supuestamente asociadas al partido de Gobierno: FLSN.",La Prensa: http://www.laprensa.com.ni/2016/01/14/politica/1969048-protesta-intimidacion-oficial (2016-01-14)
2849,2016-01-16,Región Norte Central,Departamento de Boaco,Regional,Reunión o Asamblea,NA,"Consejo Nacional para la Defensa de la tierra, lago y soberania",Grupos y/u organizaciones de campesinos y campesinas e indígenas,Campesinos y campesinas,Concientizar sobre consecuencias de Ley 840 (Canal),"En favor o en contra de leyes, reglamentos, planes y/o decretos","En contra de leyes, reglamentos, planes y/o decretos",Gobierno y Empresa HKND,Gobierno en general,No registrado,No registrada o no existencia de alianzas,General,No registrado o no existencia,"El Consejo en Defensa de la Tierra, el Agua y la Soberanía organizó una asamblea para concientizar sobre las consecuencias de la ley Canalera (840). Francisca Ramírez, lideresa del Consejo, presidió la Reunión y exhortó a los pobladores a estar informados sobre la situación.",Hoy: http://www.hoy.com.ni/2016/01/16/sigue-lucha-para-impedir-construccion-del-gran-canal/ (2016-01-16)
2850,2016-01-17,Región del Pacífico,Departamento de Managua,Local,Marcha,NA,Bicicletada Managua,Grupos y/u organizaciones de usuarios y usuarias,NA,Visibilizar el uso del ciclismo como medio de transporte y exigir respeto al ciclista.,"Mejora y/o defensa en el acceso, calidad y costo de los servicios públicos",NA,Población de Managua,Población en general,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Unos 60 ciclistas que conforman el grupo Bicicletada Managua, se reunieron la tarde del domingo 17 de enero en La Plaza Cuba para hacer un recorrido por las calles de Managua. Demandando visibilizar el uso de las bicicletas y proponiendo la construcción de ciclo vías en la Capital.",La Prensa: http://www.laprensa.com.ni/2016/01/18/nacionales/1971261-promueven-uso-bicicleta-managua (2016-01-17)
2851,2016-01-17,Región Norte Central,Departamento de Madriz,Local,Mitin o concentración,NA,Reos de prisiones preventivas de Somoto,Grupos y/u organizaciones de derechos humanos,De personas privadas de libertad,Solicitar más tiempo para visitas familiares,Defensa y/o ampliación de derechos,Defensa y/o ampliación de los derechos de las personas privadas de libertad,Policía Nacional (PN),Ministerios,No diálogo,No registrada o no existencia de alianzas,Particular,Uso de fuerza policial,"Un amotinamiento de un grupo de reos, de los más de 107 que guardan prisión por diversos delitos en las celdas preventivas de la Policía Nacional de Somoto, fue controlado por agentes policiales con bombas lacrimógenas, después que los privados de libertad se molestaran por el poco tiempo que le estaban dando a las visitas de sus familiares. Familiares gritaron en las afueras de la delegación policial para que los detenidos no fueran maltratados y se les brindara atención ante el sofocamiento producido por los gases.",Hoy: http://www.hoy.com.ni/2016/01/18/controlan-amotinamiento/ (2016-01-17)
2852,2016-01-18,Región Norte Central,Departamento de Boaco,Regional,Reunión o Asamblea,NA,"Consejo Nacional para la Defensa de la tierra, lago y soberania",Grupos y/u organizaciones de campesinos y campesinas e indígenas,Campesinos y campesinas,Concientizar sobre consecuencias de Ley 840 (Canal),"En favor o en contra de leyes, reglamentos, planes y/o decretos","En contra de leyes, reglamentos, planes y/o decretos",Gobierno y Empresa HKND,Gobierno en general,No registrado,No registrada o no existencia de alianzas,General,No registrado o no existencia,"En una asamblea informativa dirigida a la población de Teustepe, Boaco, miembros del Consejo en Defensa de la Tierra, Lago y Soberanía informaron sobre lo establecido en la Ley 840 y las posibles consecuencias a nivel ambiental, en la producción y en los empleos de la región por donde se ejecutaría el Proyecto. Denunciaron también las amenazas que reciben para quitarles sus tierras.",La Prensa: http://www.laprensa.com.ni/2016/01/18/politica/1971322-capacitan-sobre-la-ley-del-canal (2016-01-18)
2853,2016-01-19,Región del Pacífico,Departamento de Managua,Local,Mitin o concentración,NA,Grupo de vecinos y Famiiares de Yelka Ramírez,Grupos y/u organizaciones de vecinos y vecinas,NA,Reclamar justicia y cumplimiento de promesas ante múltiple crimen.,Fiscalización de la función pública y rendición de cuentas,"Lucha por la justicia, contra la impunidad y contra la criminalización de la protesta social",Policía Nacional (PN),Jerarcas de instituciones públicas,No diálogo,Participación conjunta,Particular,No registrado o no existencia,"Yelka Ramírez, sobreviviente del múltiple asesinato cometido por agente policiales en labores, organizó un plantón junto a parientes y activistas de organizaciones de la sociedad civil, frente a las Instalaciones centrales de la Policía en Plaza El Sol. Con mantas y pancartas protestaron por la impunidad del crimen ocurrido en 2015, insistieron en reclamar justicia y el cumplimiento de las promesas efectuadas por la comisionada Granera.",La Prensa: http://www.laprensa.com.ni/2016/01/20/nacionales/1972433-fuerte-reclamo-a-jefa-de-la-policia-nacional (2016-01-19)
